Household_ID,Total_HH_Income,HH_Weight
41119,30000,1680.25
17170,45982,2053.5
6936,52231,2533.59
47710,169318,1930.57
58284,80001,3217.48
3449,173000,1418.29
48183,66611,4808.03
28350,36000,804.4
68271,116101,522.85
88459,200846,492.41
86103,58900,1979.54
11780,68239,5056.7
40145,80000,2252.55
43430,156850,5069.72
149,106735,866.99
31718,121957,591.91
60232,31038,3254.4
88385,79850,377.47
79998,277620,3302.71
51352,154810,2131.09
76774,56000,1865.9
17410,114140,2998.53
17949,90011,2555.1
54778,75000,834.09
49270,127050,1591.54
8098,25002,3296.7
52347,38400,1183.98
42378,26880,2335.06
16662,110010,2888.89
16001,299210,2461.04
57758,99800,1576.32
30749,41000,1129.78
79244,159171,2753.23
69744,105112,224.92
82464,101001,2298.54
31054,80000,379.13
63103,75002,2704.34
37092,140211,904.07
21923,162682,2242
55113,38053,1315.92
21062,52536,1996.27
86350,36001,3082.7
12846,71915,2484.5
12555,235908,4472.63
27143,165357,400.31
61492,111075,2157.16
41781,8500,2830.94
83007,156574,3547.21
51294,32000,2182.54
1422,159016,1056.91
7374,27000,1844.39
62591,27720,3263.1
22388,60000,2021.67
25893,39080,1727.93
82624,92496,2246.86
16238,43600,3253.82
29918,43050,844.85
11080,200003,2864.76
28557,218885,404.34
77417,74200,2838.62
30176,82351,1110.91
75139,15029,899.01
72549,70219,724.46
23919,40802,2561.97
84269,60004,4182.7
37824,129792,634.51
42928,55003,1970.93
87859,400,974.28
51361,256702,2569.76
75228,119240,778.07
69863,39970,146.82
51552,20592,1450.07
35784,0,2925.14
81015,74000,3531.16
47932,26010,4666.03
84283,36170,3190.39
31235,31000,443.08
16313,92070,2580.49
20516,5003,4180.47
66277,222500,413.39
67058,135292,559.1
68714,33081,191.97
27204,49320,367.22
82348,161862,1946.46
55827,36639,1370.33
2379,44727,540.87
52444,139732,1146
85810,111202,2287.6
11820,151908,2563.34
65819,11000,264.85
76721,46102,1243.45
43409,26026,3179.27
57918,8800,878.78
14761,91969,3141.29
62789,151977,4951.42
18077,39888,2636.79
4190,0,1839.31
47987,130800,2788.53
63372,139002,2997.24
77273,51000,3185.15
78811,52353,1578.6
32420,59423,2822.99
25596,36021,6192.61
49597,137901,1962.25
36439,436781,1859.19
63523,67679,2422.8
72174,82001,590.33
54702,31721,1183.91
57013,68060,1490.57
87076,1814,463.47
23217,127302,3162.29
64323,50000,2230.9
84526,286985,2344.39
81430,85000,2192.02
35730,53875,2272.27
37118,12150,871.19
85108,95096,2337.33
59121,63312,1194.64
67756,19828,758.44
61963,29013,2756.07
72343,58517,452.74
72526,102000,583.41
67168,12638,271.01
26179,174101,3748.54
29073,190321,805.73
68062,52419,703.54
4465,115174,3964.91
54731,41995,1016.36
32079,110002,442.01
42330,6055,1654.81
19681,82639,4488.68
17902,91551,1677.32
16003,53119,3226.79
57595,154978,2162.41
1125,8000,1077.48
63845,140002,1937.43
57254,99800,1773.59
36091,205100,3997.53
58777,85000,888.9
44890,50964,3695.35
47785,565031,2237.18
60954,42500,2054.15
49070,57010,1731.69
3136,78001,307.11
81809,195405,1999.06
23432,87659,3142.04
50851,170162,2591.84
54796,40020,646.91
13504,250308,5504.72
33270,662406,155.53
6691,64094,1311.87
66634,174210,286.84
1596,149695,593.94
72723,78984,524.27
61267,128520,2739.81
21938,45792,3598.54
56729,93000,700.82
76782,51026,1396.43
9352,132000,2374.88
16173,250500,2598.95
12603,60776,3915.29
19901,295741,3303.29
60845,3200,5394.58
21846,266007,2159.57
74101,99483,4973.05
75301,160030,1644.7
73630,74227,2469.3
36563,62319,1898.89
25165,94368,1503.31
65221,84400,2498.1
65441,64002,2482.26
21366,102900,4497.22
29283,95045,781.46
26798,76217,293.58
37632,61384,760.5
31102,123051,356.77
3642,698399,1939.54
17131,85000,2935.79
54780,177576,1475.23
82736,131030,1805.26
24082,21700,3121.39
82932,104345,2298.8
59654,170412,1590.35
42896,155024,2453.9
87503,18310,322.71
43355,23211,6222.41
19553,128824,2103.85
77330,69013,2487.01
40961,86510,2360.93
81262,246260,3945.46
56047,53668,1573.11
3795,202592,2854.51
35720,102313,3056.3
86412,33,3908.9
49468,93039,2042.6
23829,211120,3636.96
11666,170255,2849.21
74071,67208,11933.61
13150,310328,4819.77
52475,76000,1550.9
10232,136009,5060.92
26408,57120,5687.77
50741,95500,2797.04
33068,24605,4493.88
59206,52000,1411.72
19739,127800,2599.97
20007,93250,2078.77
25116,68280,1646.06
75967,215879,1077.25
56692,132690,849.5
49879,43010,3287.62
65596,90598,3476.97
26000,16800,3348
86616,70396,2277.36
68365,92325,1118.74
79374,195741,1491.32
61265,100037,3419.5
1204,93015,1091.58
72552,65999,611.98
59901,72551,971.94
80198,0,3234.67
17993,73900,1949.71
88216,40080,1035.89
36843,204034,3297.17
17102,48057,1925.79
8933,11433,3695.45
24968,336004,2367.5
48989,37924,2015.06
1519,83021,711.69
81651,135200,2454.12
68303,53812,1062.57
38662,216659,276.42
73860,55001,4588.27
54578,59557,722.25
85904,65891,3966.39
28676,123330,344.34
7816,70001,2402.22
11198,10241,2829.77
52396,215600,1036.32
56884,170000,1201.43
69604,467350,201
64819,56000,2463.66
18194,48048,3562.71
30808,130021,2494.89
67542,42145,759.05
43438,403650,2453.9
3389,90100,2996.47
71874,162047,557.03
1483,79550,1111.46
40992,20328,2193.22
17274,79776,3372.33
27399,96080,569.28
32483,170357,3942.72
8401,45000,3830.22
25218,135000,1512.37
51796,29636,1238.05
61177,167127,5848
51197,30096,5919.15
68632,324681,880.69
25792,95734,1975.61
9873,508200,2681.68
23184,164424,3785.92
89100,194992,643.65
74920,23000,1076.22
36683,200700,4915.29
71021,70000,3452.31
60012,35000,1013.11
41002,53034,1368.86
52441,16908,983.49
19738,261554,2870.69
40376,62194,1987.63
49431,72637,2094.37
57299,101000,1145.32
32563,109040,2582.85
76321,97590,1183.4
81630,37000,2524.64
7906,72676,2486.43
82367,203660,2300.02
77028,597,1633.56
19733,223031,2121.03
42325,64945,2102.17
4151,312516,1144.42
32394,147002,3007.26
19663,41789,3532.87
71129,107010,3919.97
6612,325116,1659.56
82753,203509,2019.63
87363,117300,237.39
11030,49120,5031.59
40566,170028,5339.75
49204,92387,2391.53
18084,81960,2055.45
24564,133840,1152.99
71936,106002,1159.64
78186,66337,3744.69
77070,105191,2936.36
77364,139255,2023.1
29556,22524,743.9
70047,656171,247.92
32299,25773,3880.44
5841,37991,1014.4
75986,137986,955.69
79199,128100,2993.64
82039,210000,2306.79
75378,45101,3190.33
77302,119626,2244.57
412,68586,1634.79
24562,60200,2331.01
77712,69695,2896.61
